张馨予	张馨予	9009841	565	3185
张泉灵	张泉灵	9879531	230	3031
主播李湘	主播李湘	18782388	398	1690
陆毅	陆毅	16700256	185	1145
明道	明道	20693577	263	743
西藏昌都人韩红	西藏昌都人韩红	11186583	388	2546
昕薇vivi-豆豆	昕薇vivi-豆豆	21116293	207	5021
杨子	杨子	24187433	2209	4023
郎朗	郎朗	10745900	76	1083
北京杨博	北京杨博	9099567	1320	10050
崔始源	崔始源	13165637	60	801
那英	那英	19393037	355	1166
张杰	张杰	22615222	143	1188
延参法师	延参法师	27092501	1721	22061
胡歌	胡歌	27310843	650	2859
孟非	孟非	34405504	9	593
